Job ID,Job Title,Salary Estimate,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
p1j17,Data Scientist - Defense & Intelligence,$69K - $120K (Glassdoor est.),"Work Location is Fort Meade, MD
Elder Research Inc. is a recognized leader in predictive analytics and data mining. We pride ourselves in our ability to find creative, cutting edge solutions to real-world problems. We are looking for innovative and inquisitive self-starters who enjoy translating complex models into actionable solutions that deliver real value for our clients. We have multiple openings in the Baltimore-Washington Metropolitan area for cleared analytics and data science professionals at varying skill levels to support our Defense & Intelligence business
As a Data Scientist, you will work directly with clients, managers and technical staff to understand business needs, develop technical plans, and deliver data-driven analytical solutions that solve client problems. You will primarily create and deploy predictive models from a wide variety of data sources and types using the latest mathematical and statistical methods.",Elder Research Inc,4.3,"Fort Meade, MD",51 to 200 Employees,1995,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
p1j18,Data Scientist (Remote),$66K - $128K (Glassdoor est.),"Data Scientist
Remote Friendly Position, hiring within the US, with light travel expectations
Data is a key driver in building differentiated customer experiences and enabling stakeholder decision-making at Madison Reed. Our Analytics & Data Science team pursues a refined and actionable understanding of our customers and our business. We partner with every part of the business to unlock value-driving insights, from Marketing and Digital Product to Supply Chain and Operations. You will join a team focused on identifying and optimizing winning strategies for the business.
As a Data Scientist, you will apply data to enhance onsite experiences that delight our customers, optimize our customer acquisition marketing spend and enrich our customer understanding to drive long-term engagement. You will partner closely with key leaders to provide clarity in understanding of our ever-expanding base of customers and help drive the smart use of data. A successful candidate will enjoy delivering end-to-end solutions from technique selection to model training and measurement through the exploration of behavioral and operational data. This role will report into the VP of Data & Analytics.",Madison Reed,4.2,"Chicago, IL",51 to 200 Employees,2013,Company - Private,Beauty & Personal Accessories Stores,Retail,Unknown / Non-Applicable
p1j21,Staff Data Scientist,$110K - $198K (Glassdoor est.),"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.

How will you make an impact?
You will be a part of the fast-growing field of Clinical Diagnostics developing algorithms for molecular diagnostics based on real-time PCR technologies. Your interaction and collaboration with a talented team of assay, reagents, software, hardware designers and manufacturing will revolutionize healthcare through high throughput diagnostic systems. Thermo Fisher Scientific Inc. has played a pivotal role in the COVID-19 pandemic with the TaqPath COVID-19 Combo Kit for testing SARS-CoV-2. We continue to innovate and provide new solutions for the pandemic and we need your talent to help save lives.",Thermo Fisher - America,3.8,"San Francisco, CA",10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
p1j22,Data Scientist III,$99K - $170K (Glassdoor est.),"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.

How will you make an impact?
You will be a part of the fast-growing field of Clinical Diagnostics developing algorithms for molecular diagnostics based on real-time PCR technologies. Your interaction and collaboration with a talented team of assay, reagents, software, hardware designers and manufacturing will revolutionize healthcare through high throughput diagnostic systems. Thermo Fisher Scientific Inc. has played a pivotal role in the COVID-19 pandemic with the TaqPath COVID-19 Combo Kit for testing SARS-CoV-2. We continue to innovate and provide new solutions for the pandemic and we need your talent to help save lives.",Thermo Fisher - America,3.8,"San Francisco, CA",10000+ Employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
p1j25,Data Scientist,$60K - $110K (Glassdoor est.),"QCHI is a leading customer-focused provider of convenient financial solutions that meet the immediate needs of mainstream consumers. With more than 30-years of experience, QCHI has grown to become a trusted leader in the Alternative Financial Services marketplace, primarily providing credit options for consumers under-served by traditional banking institutions. Additionally, they have expanded services to include small businesses.
Operating in the specialty finance industry, QCHI provides services through a network of approximately 230 branches in the United States and online in the U.S. under the brands LendNation and 310-Loan in Canada.
QCHI provides consumers easy and hassle-free access to a variety of short-term loans as well as additional services such as check cashing, Western Union money services and bill pay. Knowing that today's customer seeks convenient options and speed, QCH’s products and services are focused on providing the financial solutions customers need and appreciate.",QC Holdings,2.6,"Lenexa, KS",1001 to 5000 Employees,1984,Company - Public,Lending,Finance,$100 to $500 million (USD)
p1j26,Data Scientist,$75K - $142K (Glassdoor est.),"The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection, to cancer research, to national intelligence — you know the answers are in the data.
We have an opportunity for you to use your leadership and analytical skills to improve national intelligence. You’ll work closely with your customer to understand their questions and needs, then dig into their data-rich environment to find the pieces of their information puzzle. You’ll mentor teammates, develop automated data cleaning algorithms and data rescaling algorithms, develop the capability to support both ranges and precise integers within automated data discretization algorithms, develop algorithms or scripts to automate consistent data formatting, natural language processing, and scripts to find and select data and logically aggregate data and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help our customers make informed decisions. You’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. As a technical leader, you’ll identify new opportunities to use data science solutions to help your customers meet their toughest challenges. Join us as we use data science for good in national intelligence.

ID13",Booz Allen Hamilton,4.2,"McLean, VA",10000+ Employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD)
p1j28,Data Scientist,$60K - $112K (Glassdoor est.),"Data Scientist – Supplement and Fitness Brand
Location: Remote (USA)
Salary: $110,000 - $120,000 DOE
My Client:
My client is a fast-growing fitness and supplement brand that is taking the world by storm! They provide their consumers with personalised coaching and supplement to help them reach their unique health and fitness goals. They are dedicated to changing and impacting peoples lives through healthy habits and are looking for a Data Scientist to join their growing team!",COREcruitment,4.8,"Las Vegas, NV",1 to 50 Employees,2015,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD)
p1j29,Data Scientist,$72K - $131K (Glassdoor est.),"At Foodsby, we bring better lunch experiences to office workers everywhere. We are on a mission to mobilize a global network of people, restaurants, and businesses to make food delivery more affordable, sustainable, reliable, efficient, and delightful for everyone. Our team is guided by the shared belief that it is not just about the food—it is about how food makes us feel and what it enables us to achieve. We take risks, embrace failure, ask questions, and learn from our mistakes because we know it is what we need to grow and succeed, both as individual contributors and together as a team

Job Summary -
As an online food delivery marketplace like Foodsby, data science is an essential function of our business. The marketplace has grown to a level where machine learning models for user acquisition, demand prediction, delivery time prediction, dynamic routing, etc. make a big impact. We're looking for an experienced Data Scientist to join our data science team.",FOODSBY,4.3,"Minneapolis, MN",51 to 200 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
p2j1,Senior Data Scientist,$77K - $140K (Glassdoor est.),"JOB DESCRIPTION
The Senior Data Scientist leads analytics or modeling projects, utilizing more than one dataset from multiple business units, identifies new data sources as needed, and presents findings to business stakeholders and process owners. The position may also review analytic models of less experienced data scientists.
COMPANY OVERVIEW
Nashville, Tenn.-based Bridgestone Americas, Inc. is the U.S. subsidiary of Bridgestone Corporation, the world's largest tire and rubber company. Bridgestone Americas and its subsidiaries develop, manufacture and market a wide range of Bridgestone, Firestone and associate brand tires to address the needs of a broad range of customers, including consumers, automotive and commercial vehicle original equipment manufacturers, and those in the agricultural, forestry and mining industries. The companies are also engaged in retreading operations throughout the Western Hemisphere and produce air springs, roofing materials, and industrial fibers and textiles. The Bridgestone Americas family of companies also operates the world's largest chain of automotive tire and service centers.Guided by its global corporate social responsibility (CSR), commitment 'Our Way to Serve,' Bridgestone embraces its responsibility as a global leader by striving to improve the way people move, live, work and play.",Bridgestone Americas,3.6,"Nashville, TN",10000+ Employees,1900,Subsidiary or Business Segment,Industrial Manufacturing,Manufacturing,$10+ billion (USD)
p2j2,Supply Chain Consultant - Data Scientist,$54K - $102K (Glassdoor est.),"Supply Chain Consultant - Data Scientist
Job Description
The Customer Logistics Capabilities Transformation team is accountable for process mining and reporting analytics to ensure supply chain business process and technology capabilities are effective and efficient. The data scientist role will focus on analytics development and insights to drive successful transformational activities related to Order Management and Distribution. The incumbent must possess a combination of advanced analytical thinking and data mining skills, experience in data architecture design and development in addition to experience with algorithms and coding. This technical role will create and maintain a robust data architecture for process mining, develop KPI metrics, automation, and analyses to use for sustained problem-solving.
K-C will support in-country relocation for the chosen candidate for the role, including assistance to obtain proper work authorization. The benefits provided will be per the terms of K-C’s applicable mobility policies. The benefits/policy provided will be decided in K-C’s sole discretion.
USA-WI-Neenah
Employee
Regular
Full time","Kimberly-Clark Corporation, LLC",4.0,"Neenah, WI",10000+ Employees,1872,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
p2j3,Data Scientist II,$75K - $127K (Glassdoor est.),"Primary Location: 3003 Summit Blvd, Atlanta, GA, USA
Division: Cox Automotive
Job Level: Individual Contributor
Travel: Yes, 5 % of the Time
Schedule: Full-time
Shift: Day Job
Requisition Number: 212119
Our data scientists are responsible for leading the development of advanced analytics models to solve our customers problems through innovative products and services; and inform internal business operations and strategy. They will work closely with product, engineering, and our business stakeholders as the subject matter expert on the application mathematical modeling across our family of leading automotive brands. The Data Scientist II works under the direction of senior data science staff and contributes to all phases of an analytics project. The scope of work includes the analysis and preparation of data, the development of specified models, and the compilation of results.",Cox Automotive,4.0,"Atlanta, GA",10000+ Employees,2014,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
p2j4,Data Scientist,$72K - $117K (Glassdoor est.),"Summary
Use analytical, statistical and programming skills in support of internal and external data analysis requests. Aggregate and organize data from disparate sources in support of data analysis.
Job Details/Main Responsibilities
Extract and manipulate data from large and diverse sources in support of analysis requests.
Provide programming in support of statistical analyses (quarterly reports, client queries, manuscript support) by generating tables, listings, or figures.
Build tools to automate data analysis and collection.",TARGET PHARMASOLUTIONS,4.7,"Durham, NC",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
p2j7,Data Scientist,$65K - $108K (Glassdoor est.),"About Working at Commerce
Wouldn’t it be great to build your career at a bank that’s known for helping people with their financial challenges? That’s exactly what you’d be doing when you join the team at Commerce Bank. We’re looking for teammates who are ready to do whatever it takes to help our customers with their everyday financial needs. You’d be helping yourself too, because Commerce has a tradition of recognizing and rewarding team members for their talent, skills and contributions.

No wonder we’ve been an industry leader for over 150 years and have developed a reputation as a great place to work in the financial services world. If you’d like to be a part of a team and culture that is respected by its peers and in your community, we should talk. We’re always looking for the best and brightest.








Location: 811 Main St, Kansas City, Missouri 64105
Full time",Commerce Bank,4.1,"Kansas City, MO",1001 to 5000 Employees,1865,Company - Public,Banks & Credit Unions,Finance,$1 to $2 billion (USD)
p2j8,Data Scientist,$93K - $170K (Glassdoor est.),"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.
Recommendation algorithm team plays a central role in the company, driving critical product decisions and platform growth. The team is made up of machine learning researchers and engineers, who support and innovate on production recommendation models and drive product impact. The team is dynamic, fast-pacing, collaborative and impact-driven.
Responsibilities - What You'II Do
Design and analyze experiments to verify product hypothesis and direction;
Audit quality of launch experiment results and guarantee correct measurement of product or technical changes' impact;",TikTok,3.9,"Mountain View, CA",501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
p2j10,Data Scientist,$96K - $167K (Glassdoor est.),"Who You Are


You possess a strong foundation in Machine Learning and Statistics and are motivated to apply those skills to solve mission critical problems faced by leading international financial institutions. You are an experienced quantitative thinker who is excited to work at a fast growing company where you will have the chance to apply and expand your scientific and engineering skills in the fields of Risk Modeling; Natural Language Processing such as Entity Linking, Document Classification, and Topic Modeling; Building scalable Data and Model pipelines; and Model Monitoring. You are collaborative by nature and share Quantifind's commitment to winning together, and are eager to see your coworkers build on the technical foundations you will be creating. You are passionate about maintaining the high scientific and engineering standards required to build production grade solutions. Above all, you are a curious and independent problem solver who is motivated to find a place where your skills can have real impact.



Quantifind helps some of the world's biggest banks catch money laundering and fraud. Quantifind also works with government agencies to use the same platform to uncover criminal networks and combat election tampering. Unlike other players in this space, Quantifind delivers results as software-as-a-service (SaaS) with consumer-grade user experiences.

Quantifind is a data science technology company whose AI platform uncovers signals of risk across disparate and unstructured text sources. In financial crimes risk management, Quantifind's solution uniquely combines internal financial institution data with public domain data to assess risk in the context of Know Your Customer (KYC), Customer Due Diligence (CDD), Fraud Risk Management, and Anti-Money Laundering (AML) processes. Today these compliance processes are burdened by ever-increasing regulatory responsibilities and an expectation of frictionless transactions. Legacy technologies demand increasingly more human resources as the operations expand; Quantifind's solution offers a way to cut through the inefficiency and enhance effectiveness through Machine Learning driven solutions that resolve for both accuracy and relevance.

To help you succeed, we provide a supportive environment that fosters collaboration between teams and team members, where learning and professional growth are considered a key part of your success, and of ours. We offer a flexible work environment with a family friendly work-life balance.



Quantifind is seeking to fill a Full-Stack Data Scientist position in Menlo Park, CA on our Data Science team. You will work closely with the Product Management team, fellow Data Scientists and Platform engineers to identify key business problems and develop solutions that combine data engineering with sophisticated mathematical modeling. Members of the Data Science team translate real world problems into quantitative language, find or create algorithms to solve those problems, and implement them in code. Our team values a creative and empathetic approach to problem solving and strives to maintain rigorous scientific and engineering standards. We will give you the opportunity to work on the full data science pipeline, bringing solutions from basic research all the way to production. You will have the opportunity to become a leader in the team as we continue to expand both our financial services and government business.

Quantifind is operating fully remote for the foreseeable future, but we envision an eventual return to work that includes regular in-person touchpoints and shared office space. When this time comes, a Silicon Valley home base will help facilitate interactions with our Silicon Valley-based development team.

We are an equal opportunity employer; we have a fun place to work and a devotion to succeeding together.

Will you join us? Apply now!",Quantifind,4.2,"Menlo Park, CA",51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
p2j11,Data Scientist,$65K - $120K (Glassdoor est.),"Company: Herdt Consulting, Inc.
An excellent opportunity with a highly successful, Veteran-Owned Small Business (VOSB). Every day, our clients trust Herdt to help navigate their most complex business and organizational challenges. We partner with our clients at all levels to ensure all business objectives are fully realized. Herdt provides project management, process and leadership support as well as specialized technical support to the U.S. Department of Defense (DoD) and other Federal agencies. Herdt employees are accomplished individuals who have served as hands-on leaders in the U.S. military and private industry - We hire the best. Our employees lead some of the most complex enterprise business systems and business processes through implementation and sustainment. We are valued for our technical knowledge, business process expertise and industry best-practice solutions.",Herdt Consulting Inc,3.9,"Norfolk, VA",51 to 200 Employees,-1,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
